Code,Branch / Collection Label,Research/Branch,Actual Location
csa0n,Columbus Non-Fiction,,
csa0v,Columbus Non-Print Media,,
csar,Columbus Adult Reference ,,
csj,Columbus Children,,
csj01,Columbus Children's Reference,,
csj0a,Columbus Children's Easy Book,,
csj0f,Columbus Children's Fiction,,
csj0h,Columbus Children's Holiday Book,,
csj0i,Columbus Children's Picture Book,,
csj0l,Columbus Children's World Languages,,
csj0n,Columbus Children's Non-Fiction,,
csj0t,Columbus Children's Fairy Tale,,
csj0v,Columbus Children's Non-Print Media,,
csj0y,Columbus Children's Young Reader,,
csjr,Columbus Children's Reference,,
csy,Columbus Young Adult,,
csy01,Columbus YA Reference,,
csy0f,Columbus YA Fiction,,
csy0l,Columbus YA World Languages,,
csy0n,Columbus YA Non-Fiction,,
csy0v,Columbus YA Non-Print Media,,
csyr,Columbus Young Adult Reference,,
cszzz,Columbus (error code),,
ct,Castle Hill,,
cta,Castle Hill Adult,,
cta01,Castle Hill Reference,,
cta03,Castle Hill Closed Shelf Reference,,
cta0f,Castle Hill Fiction,,
cta0l,Castle Hill World Languages,,
cta0n,Castle Hill Non-Fiction,,
cta0v,Castle Hill Non-Print Media,,
ctar,Castle Hill Adult Reference,,
ctj,Castle Hill Children,,
ctj01,Castle Hill Children's Reference,,
ctj0a,Castle Hill Children's Easy Book,,
ctj0f,Castle Hill Children's Fiction,,
ctj0h,Castle Hill Children's Holiday Book,,
ctj0i,Castle Hill Children's Picture Book,,
ctj0l,Castle Hill Children's World Languages,,
ctj0n,Castle Hill Children's Non-Fiction,,
ctj0t,Castle Hill Children's Fairy Tale,,
ctj0v,Castle Hill Children's Non-Print Media,,
ctj0y,Castle Hill Children's Young Reader,,
ctjr,Castle Hill Children's Reference,,
cty,Castle Hill Young Adult,,
cty01,Castle Hill YA Reference,,
cty0f,Castle Hill YA Fiction,,
cty0l,Castle Hill YA World Languages,,
cty0n,Castle Hill YA Non-Fiction,,
cty0v,Castle Hill YA Non-Print Media,,
ctyr,Castle Hill Young Adult Reference,,
ctzzz,Castle Hill (error code),,
dh,Dongan Hills,,
dha,Dongan Hills Adult,,
dha01,Dongan Hills Reference,,
dha03,Dongan Hills Closed Shelf Reference,,
dha0f,Dongan Hills Fiction,,
dha0l,Dongan Hills World Languages,,
dha0n,Dongan Hills Non-Fiction,,
dha0v,Dongan Hills Non-Print Media,,
dhar,Dongan Hills Adult Reference,,
dhj,Dongan Hills Children ,,
dhj01,Dongan Hills Children's Reference,,
dhj0a,Dongan Hills Children's Easy Book,,
dhj0f,Dongan Hills Children's Fiction,,
dhj0h,Dongan Hills Children's Holiday Book,,
dhj0i,Dongan Hills Children's Picture Book,,
dhj0l,Dongan Hills Children's World Languages,,
dhj0n,Dongan Hills Children's Non-Fiction,,
dhj0t,Dongan Hills Children's Fairy Tale,,
dhj0v,Dongan Hills Children's Non-Print Media,,
dhj0y,Dongan Hills Children's Young Reader,,
dhjr,Dongan Hills Children's Reference ,,
dhy,Dongan Hills Young Adult ,,
dhy01,Dongan Hills YA Reference,,
dhy0f,Dongan Hills YA Fiction,,
dhy0l,Dongan Hills YA World Languages,,
dhy0n,Dongan Hills YA Non-Fiction,,
dhy0v,Dongan Hills YA Non-Print Media,,
dhyr,Dongan Hills Young Adult Reference ,,
dhzzz,Dongan Hills (error code),,
dy,Spuyten Duyvil,,
dya,Spuyten Duyvil Adult ,,
dya01,Spuyten Duyvil Reference,,
dya03,Spuyten Duyvil Closed Shelf Reference,,
dya0f,Spuyten Duyvil Fiction,,
dya0l,Spuyten Duyvil World Languages,,
dya0n,Spuyten Duyvil Non-Fiction,,
dya0v,Spuyten Duyvil Non-Print Media,,
dyar,Spuyten Duyvil Adult Reference ,,
dyj,Spuyten Duyvil Children,,
dyj01,Spuyten Duyvil Children's Reading Room,,
dyj0a,Spuyten Duyvil Children's Easy Book,,
dyj0f,Spuyten Duyvil Children's Fiction,,
dyj0h,Spuyten Duyvil Children's Holiday Book,,
dyj0i,Spuyten Duyvil Children's Picture Book,,
dyj0l,Spuyten Duyvil Children's World Languages,,
dyj0n,Spuyten Duyvil Children's Non-Fiction,,
dyj0t,Spuyten Duyvil Children's Fairy Tale,,
dyj0v,Spuyten Duyvil Children's Non-Print Media,,
dyj0y,Spuyten Duyvil Children's Young Reader,,
dyjr,Spuyten Duyvil Children's Reference,,
dyy,Spuyten Duyvil Young Adult,,
dyy01,Spuyten Duyvil YA Reference,,
dyy0f,Spuyten Duyvil YA Fiction,,
dyy0l,Spuyten Duyvil YA World Languages,,
dyy0n,Spuyten Duyvil YA Non-Fiction,,
dyy0v,Spuyten Duyvil YA Non-Print Media,,
dyyr,Spuyten Duyvil Young Adult Reference,,
dyzzz,Spuyten Duyvil (error code),,
ea,Eastchester,,
eaa,Eastchester Adult,,
eaa01,Eastchester Reference,,
eaa03,Eastchester Closed Shelf Reference,,
eaa0f,Eastchester Fiction,,
eaa0l,Eastchester World Languages,,
eaa0n,Eastchester Non-Fiction,,
eaa0v,Eastchester Non-Print Media,,
eaar,Eastchester Adult Reference,,
eaj,Eastchester Children,,
eaj01,Eastchester Children's Reference,,
eaj0a,Eastchester Children's Easy Book,,
eaj0f,Eastchester Children's Fiction,,
eaj0h,Eastchester Children's Holiday Book,,
eaj0i,Eastchester Children's Picture Book,,
eaj0l,Eastchester Children's World Languages,,
eaj0n,Eastchester Children's Non-Fiction,,
eaj0t,Eastchester Children's Fairy Tale,,
eaj0v,Eastchester Children's Non-Print Media,,
eaj0y,Eastchester Children's Young Reader,,
eajr,Eastchester Children's Reference,,
eay,Eastchester Young Adult,,
eay01,Eastchester YA Reference,,
eay0f,Eastchester YA Fiction,,
eay0l,Eastchester YA World Languages,,
eay0n,Eastchester YA Non-Fiction,,
eay0v,Eastchester YA Non-Print Media,,
eayr,Eastchester Young Adult Reference,,
eazzz,Eastchester (error code),,
ed,LSC Educator Collection,,
eduls,LSC Educator Collection,,
ep,Epiphany,,
epa,Epiphany Adult,,
epa01,Epiphany Reference,,
epa03,Epiphany Closed Shelf Reference,,
epa0f,Epiphany Fiction,,
epa0l,Epiphany World Languages,,
epa0n,Epiphany Non-Fiction,,
epa0v,Epiphany Non-Print Media,,
epar,Epiphany Adult Reference,,
epj,Epiphany Children,,
epj01,Epiphany Children's Reference,,
epj0a,Epiphany Children's Easy Book,,
epj0f,Epiphany Children's Fiction,,
epj0h,Epiphany Children's Holiday Book,,
epj0i,Epiphany Children's Picture Book,,
epj0l,Epiphany Children's World Languages,,
epj0n,Epiphany Children's Non-Fiction,,
epj0t,Epiphany Children's Fairy Tale,,
epj0v,Epiphany Children's Non-Print Media,,
epj0y,Epiphany Children's Young Reader,,
epjr,Epiphany Children's Reference,,
epy,Epiphany Young Adult,,
epy01,Epiphany YA Reference,,
epy0f,Epiphany YA Fiction,,
epy0l,Epiphany YA World Languages,,
epy0n,Epiphany YA Non-Fiction,,
epy0v,Epiphany YA Non-Print Media,,
epyr,Epiphany Young Adult Reference,,
epzzz,Epiphany (error code),,
ew,Edenwald,,
ewa,Edenwald Adult,,
ewa01,Edenwald Reference,,
ewa03,Edenwald Closed Shelf Reference,,
ewa0f,Edenwald Fiction,,
ewa0l,Edenwald World Languages,,
ewa0n,Edenwald Non-Fiction,,
ewa0v,Edenwald Non-Print Media,,
ewar,Edenwald Adult Reference,,
ewj,Edenwald Children,,
ewj01,Edenwald Children's Reference,,
ewj0a,Edenwald Children's Easy Book,,
ewj0f,Edenwald Children's Fiction,,
ewj0h,Edenwald Children's Holiday Book,,
ewj0i,Edenwald Children's Picture Book,,
ewj0l,Edenwald Children's World Languages,,
ewj0n,Edenwald Children's Non-Fiction,,
ewj0t,Edenwald Children's Fairy Tale,,
ewj0v,Edenwald Children's Non-Print Media,,
ewj0y,Edenwald Children's Young Reader,,
ewjr,Edenwald Children's Reference,,
ewy,Edenwald Young Adult,,
ewy01,Edenwald YA Reference,,
ewy0f,Edenwald YA Fiction,,
ewy0l,Edenwald YA World Languages,,
ewy0n,Edenwald YA Non-Fiction,,
ewy0v,Edenwald YA Non-Print Media,,
ewyr,Edenwald Young Adult Reference,,
ewzzz,Edenwald (error code),,
fe,58th Street,,
fea,58th Street Adult,,
fea01,58th Street Reference,,
fea03,58th Street Closed Shelf Reference,,
fea0f,58th Street Fiction,,
fea0l,58th Street World Languages,,
fea0n,58th Street Non-Fiction,,
fea0v,58th Street Non-Print Media,,
fear,58th Street Adult Reference,,
fej,58th Street Children,,
fej01,58th Street Children's Reference,,
fej0a,58th Street Children's Easy Book,,
fej0f,58th Street Children's Fiction,,
fej0h,58th Street Children's Holiday Book,,
fej0i,58th Street Children's Picture Book,,
fej0l,58th Street Children's World Languages,,
fej0n,58th Street Children's Non-Fiction,,
fej0t,58th Street Children's Fairy Tale,,
fej0v,58th Street Children's Non-Print Media,,
fej0y,58th Street Children's Young Reader,,
fejr,58th Street Children's Reference,,
fey,58th Street Young Adult,,
fey01,58th Street YA Reference,,
fey0f,58th Street YA Fiction,,
fey0l,58th Street YA World Languages,,
fey0n,58th Street YA Non-Fiction,,
fey0v,58th Street YA Non-Print Media,,
feyr,58th Street Young Adult Reference,,
fezzz,58th Street (error code),,
fw,Fort Washington,,
fwa,Fort Washington Adult,,
fwa01,Fort Washington Reference,,
fwa03,Fort Washington Closed Shelf Reference,,
fwa0f,Fort Washington Fiction,,
fwa0l,Fort Washington World Languages,,
fwa0n,Fort Washington Non-Fiction,,
fwa0v,Fort Washington Non-Print Media,,
fwar,Fort Washington Adult Reference,,
fwj,Fort Washington Children,,
fwj01,Fort Washington Children's Reference,,
fwj0a,Fort Washington Children's Easy Book,,
fwj0f,Fort Washington Children's Fiction,,
fwj0h,Fort Washington Children's Holiday Book,,
fwj0i,Fort Washington Children's Picture Book,,
fwj0l,Fort Washington Children's World Languages,,
fwj0n,Fort Washington Children's Non-Fiction,,
fwj0t,Fort Washington Children's Fairy Tale,,
fwj0v,Fort Washington Children's Non-Print Media,,
fwj0y,Fort Washington Children's Young Reader,,
fwjr,Fort Washington Children's Reference,,
fwy,Fort Washington Young Adult,,
fwy01,Fort Washington YA Reference,,
fwy0f,Fort Washington YA Fiction,,
fwy0l,Fort Washington YA World Languages,,
fwy0n,Fort Washington YA Non-Fiction,,
fwy0v,Fort Washington YA Non-Print Media,,
fwyr,Fort Washington Young Adult Reference,,
fwzzz,Fort Washington (error code),,
fx,Francis Martin,,
fxa,Francis Martin Adult,,
fxa01,Francis Martin Reference,,
fxa03,Francis Martin Closed Shelf Reference,,
fxa0f,Francis Martin Fiction,,
fxa0l,Francis Martin World Languages,,
fxa0n,Francis Martin Non-Fiction,,
fxa0v,Francis Martin Non-Print Media,,
fxar,Francis Martin Adult Reference,,
fxj,Francis Martin Children,,
fxj01,Francis Martin Children's Reference,,
fxj0a,Francis Martin Children's Easy Book,,
fxj0f,Francis Martin Children's Fiction,,
fxj0h,Francis Martin Children's Holiday Book,,
fxj0i,Francis Martin Children's Picture Book,,
fxj0l,Francis Martin Children's World Languages,,
fxj0n,Francis Martin Children's Non-Fiction,,
fxj0t,Francis Martin Children's Fairy Tale,,
fxj0v,Francis Martin Children's Non-Print Media,,
fxj0y,Francis Martin Children's Young Reader,,
fxjr,Francis Martin Children's Reference,,
fxy,Francis Martin Young Adult,,
fxy01,Francis Martin YA Reference,,
fxy0f,Francis Martin YA Fiction,,
fxy0l,Francis Martin YA World Languages,,
fxy0n,Francis Martin YA Non-Fiction,,
fxy0v,Francis Martin YA Non-Print Media,,
fxyr,Francis Martin Young Adult Reference,,
fxzzz,Francis Martin (error code),,
gc,Grand Central,,
gca,Grand Central Adult ,,
gca01,Grand Central Reference,,
gca03,Grand Central Closed Shelf Reference,,
gca0f,Grand Central Fiction,,
gca0l,Grand Central World Languages,,
gca0n,Grand Central Non-Fiction,,
gca0v,Grand Central Non-Print Media,,
gcar,Grand Central Adult Reference,,
gcj,Grand Central Children,,
gcj01,Grand Central Children's Reference,,
gcj0a,Grand Central Children's Easy Book,,
gcj0f,Grand Central Children's Fiction,,
