Code,Branch / Collection Label,Research/Branch,Actual Location
zr064,Gaynor McCown Expeditionary Learning School,,
zr069,DOE P.S. 069 Daniel D. Tompkins ,,
zr071,R071,,
zr075,DOE I.S. 075 Frank D. Paulo ,,
zr080,DOE The Michael J. Petrides School ,,
zr440,DOE New Dorp High School,,
zr445,DOE Port Richmond High School ,,
zr450,DOE Curtis High School ,,
zr455,DOE Tottenville High School ,,
zr460,DOE Susan E. Wagner High School ,,
zr600,Ralph R. McKee Career and Technical Education High School,,
zr605,DOE Staten Island Technical High School ,,
zr721,DOE The Richard H. Hungerford School,,
zr861,DOE Staten Island School of Civic Leadership ,,
zx,DOE - Bronx Borough,,
zx001,DOE P.S. 001 Courtlandt School,,
zx002,X002,,
zx003,DOE P.S. 3 Raul Julia Micro Society ,,
zx005,DOE P.S. 005 Port Morris ,,
zx006,DOE P.S. 006 West Farms ,,
zx007,DOE P.S. 007 Kingsbridge ,,
zx008,DOE P.S. 008 Issac Varian ,,
zx011,DOE P.S. 011 Highbridge ,,
zx014,DOE P.S. X014 Senator John Calandra ,,
zx015,DOE CAMPUS P.S. X015 Institute for Environmental Learning / P.S. 291 ,,
zx020,DOE P.S. 20 George J. Werdan III,,
zx021,DOE Philip H. Sheridan,,
zx022,DOE J.H.S. 022 Jordan L. Mott ,,
zx023,DOE P.S. 023 The New Children's School ,,
zx029,P.S./M.S. 29 Melrose School,,
zx032,DOE P.S. 032 Belmont ,,
zx033,DOE P.S. 033 Timothy Dwight ,,
zx036,DOE P.S. 036 Unionport ,,
zx037,DOE P.S. X037 Multiple Intelligence School ,,
zx040,DOE CAMPUS Young Leaders Elementary School / P.S. 179,,
zx041,DOE P.S. 041 Gun Hill Road ,,
zx046,DOE P.S. 046 Edgar Allan Poe ,,
zx047,DOE P.S. 047 John Randolph ,,
zx048,DOE P.S. 048 Joseph R. Drake ,,
zx049,DOE Willis Avenue,,
zx050,DOE P.S. 050 Clara Barton,,
zx054,DOE P.S. / I.S. 54,,
zx056,DOE P.S. 056 Norwood Heights ,,
zx057,P.S. 57 Crescent,,
zx059,DOE P.S. 059 The Community School of Technology ,,
zx060,DOE CAMPUS P.S. 333 The Museum School / P.S. 335 Academy of Arts,,
zx061,DOE Francisco Oller,,
zx062,DOE P.S. 062 Inocensio Casanova ,,
zx063,DOE Author's Academy,,
zx064,DOE P.S. 064 Pura Belpre ,,
zx066,DOE P.S. 066 School of Higher Expectations ,,
zx068,DOE P.S. 068 Bronx ,,
zx069,DOE P.S. 069 Journey Prep School ,,
zx070,DOE Max Schoenfeld,,
zx072,DOE P.S. 072 Dr. William Dorney ,,
zx073,DOE P.S. 073 Bronx ,,
zx074,DOE CAMPUS Hyde E.S. / M.S. / H.S. Campus,,
zx075,DOE P.S. 075,,
zx076,DOE P.S. 076 The Bennington School ,,
zx077,DOE CAMPUS P.S. 195 / P.S. 196,,
zx078,DOE P.S. 078 Anne Hutchinson ,,
zx079,DOE CAMPUS Creston Campus Schools X ,,
zx080,X080,,
zx081,DOE P.S. 081 Robert J. Christen ,,
zx082,DOE CAMPUS Macombs Road Campus ,,
zx083,DOE P.S. 083 Donald Hertz ,,
zx085,DOE P.S. 085 Great Expectations ,,
zx086,DOE P.S. 086 Kingsbridge Heights ,,
zx087,DOE P.S. 087 Bronx ,,
zx088,DOE P.S. X088 S. Silverstein Little Sparrow School ,,
zx089,DOE P.S. 089 Bronx,,
zx092,DOE P.S. 092 Bronx,,
zx093,DOE P.S. 093 Albert G. Oliver ,,
zx094,DOE P.S. 094 Kings College School ,,
zx095,DOE P.S. 095 Sheila Mencher ,,
zx096,DOE P.S. 096 Richard Rodgers ,,
zx097,DOE P.S. 097 Bronx ,,
zx098,Explorations Academy ,,
zx100,DOE P.S. 100 Isaac Clason ,,
zx101,DOE M.S. 101 Edward R. Byrne,,
zx102,DOE CAMPUS Joseph O. Loretan Campus ,,
zx103,DOE P.S. 103 Hector Fontanez ,,
zx107,DOE P.S. 107,,
zx109,DOE P.S. 109 Sedgwick ,,
zx110,DOE P.S. 110 Theodore Schoenfeld,,
zx111,DOE Seton Falls,,
zx112,DOE Bronxwood,,
zx114,DOE P.S. X114 Luis Llorens Torres Schools ,,
zx115,EAST FORDHAM ACADEMY FOR THE ARTS ,,
zx119,DOE P.S. 119 ,,
zx121,DOE P.S. 121 Throop ,,
zx123,DOE J.H.S. 123 James M. Kieran ,,
zx126,DOE P.S. 126 Dr Marjorie H Dunbar ,,
zx127,DOE J.H.S. 127 The Castle Hill ,,
zx130,DOE P.S. 130 Abram Stevens Hewitt ,,
zx132,DOE P.S. 132 Garret A. Morgan ,,
zx140,DOE The Eagle School,,
zx141,DOE Riverdale / Kingsbridge Academy (Middle School / High School 141) ,,
zx143,DOE CAMPUS New School For Leadership and the Arts/Marie Curie HS For Medicine X,,
zx145,DOE CAMPUS Teller Avenue Campus ,,
zx147,X147,,
zx148,DOE CAMPUS Third Avenue Bronx Campus ,,
zx150,DOE P.S. 150 Charles James Fox ,,
zx152,DOE Evergreen,,
zx153,DOE P.S. 153 Helen Keller ,,
zx154,DOE P.S. 154 Jonathan D. Hyatt ,,
zx156,DOE CAMPUS Performance School / Bronx Global Learning Inst for Girls,,
zx157,DOE P.S. 157 Grove Hill ,,
zx160,DOE P.S. 160 Walt Disney ,,
zx161,DOE P.S. 161 Ponce De Leon ,,
zx162,DOE J.H.S. 162 Lola Rodriguez De Tio ,,
zx168,DOE P.S. 168,,
zx170,DOE P.S. 170 ,,
zx174,DOE The Bronx Mathematics Preparatory School,,
zx175,DOE P.S. 175 City Island,,
zx178,DOE P.S. 178 Dr. Selman Waksman,,
zx179,P.S. 179,,
zx180,DOE Dr. Daniel Hale Williams,,
zx181,DOE I.S. 181 Pablo Casals ,,
zx182,DOE P.S. 182,,
zx186,DOE P.S. 186 Walter J. Damrosch School,,
zx188,P.S. X188,,
zx192,DOE CAMPUS Hollywood Avenue Campus  ,,
zx193,DOE CAMPUS P.S. X211 / I.S. X318,,
zx194,PS/MS 194,,
zx195,P.S. 195,,
zx196,P.S. 196,,
zx199,DOE P.S. 199 The Shakespeare School,,
zx203,DOE M.S. 203 ,,
zx204,DOE P.S. 204 Morris Heights ,,
zx205,DOE Fiorello Laguardia,,
zx206,DOE I.S. 206 Ann Mersereau ,,
zx211,P.S. 211,,
zx215,Kappa,,
zx219,I.S. 219 New Venture School,,
zx223,DOE M.S. 223 The Laboratory School of Finance and Technology,,
zx227,Bronx Collegiate Academy,,
zx229,I.S. 229 Roland Patterson ,,
zx230,DOE I.S. 229 Roland Patterson ,,
zx231,DOE Eagle Academy for Young Men ,,
zx236,DOE P.S. 236 Langston Hughes ,,
zx237,The Marie Curie School for Medicine,,
zx239,The Urban Assembly Academy for History and Citizenship for Young Men,,
zx240,X240,,
zx241,Urban Assembly School for Applied Math and Science,,
zx243,West Bronx Academy for the Future,,
zx244,The New School for Leadership and Journalism,,
zx246,DOE P.S. 246 Poe Center ,,
zx249,Bronx Health Sciences High School,,
zx250,Eximius College Preparatory Academy: A College Board School,,
zx251,Explorations Academy,,
zx252,Mott Hall Bronx High School,,
zx253,Bronx High School for Writing and Communication Arts,,
zx254,DOE I.S. 254 ,,
zx260,Bronx Center for Science and Mathematics,,
zx263,Validus Preparatory Academy: An Expeditionary Learning School,,
zx265,Bronx Lab School,,
zx268,Kingsbridge International High School,,
zx270,Academy for Scholarship and Entrepreneurship: A College Board School,,
zx273,Frederick Douglass Academy V. Middle School,,
zx275,High School of Computers and Technology,,
zx277,DOE P.S. 277 ,,
zx280,DOE P.S. / M.S. 280 Mosholu Parkway,,
zx288,Collegiate Institute for Math and Science,,
zx290,Bronx Academy of Health Careers,,
zx295,Gateway School for Environmental Research and Technology,,
zx299,Astor Collegiate Academy,,
zx302,DOE M.S. 302 Luisa Dessus Cruz,,
zx304,DOE P.S. 304 Early Childhood School,,
zx305,Pablo Neruda Academy for Architecture and World Studies,,
zx306,DOE CAMPUS P.S. X306 / X331 Campus ,,
zx310,DOE P.S. 310 Marble Hill ,,
zx312,Millennium Art Academy,,
zx318,I.S. X318 Math,,
zx325,Urban Science Academy,,
zx327,Comprehensive Model School Project MS 327X,,
zx328,New Millennium Business Academy Middle School,,
zx329,DreamYard Preparatory School,,
zx331,The Bronx School of Young Leaders,,
zx333,P.S. 333 - The Museum School,,
zx335,The Academy of the Arts,,
zx337,The School for Inquiry and Social Justice,,
zx339,I.S. 339,,
zx340,DOE P.S. 340 ,,
zx342,International School for Liberal Arts,,
zx345,Hyde Leadership Charter School,,
zx350,New Directions Secondary School,,
zx360,DOE P.S. 360 ,,
zx362,DOE CAMPUS Williamsbridge Campus ,,
zx368,DOE In-Tech Academy (M.S. / High School 368) ,,
zx369,Young Leaders Elementary School,,
zx375,DOE The Bronx Mathematics Preparatory School,,
zx376,Antonia Pantoja Preparatory Academy: A College Board School,,
zx377,Bronx Community High School,,
zx382,Elementary School for Math,,
zx385,DOE Performance School,,
zx386,School for Environmental Citizenship,,
zx388,Pan American International High School at Monroe,,
zx389,Pan American International High School at Monroe,,
zx396,DOE P.S. 396 ,,
zx400,DOE CAMPUS Morris Educational Campus,,
zx410,DOE CAMPUS William Howard Taft Educational Campus ,,
zx412,Bronx High School of Business,,
zx413,Bronx High School for Medical Science,,
zx414,Jonathan Levin High School for Media and Communications,,
zx415,DOE CAMPUS Christopher Colombus Educational Campus ,,
zx418,DOE Bronx High School for the Visual Arts ,,
zx420,DOE CAMPUS James Monroe Educational Campus ,,
zx425,DOE CAMPUS Evander Childs Campus,,
zx427,Community School for Social Justice,,
zx430,X430,,
zx432,BRONX BRIDGES HIGH SCHOOL,,
zx433,High School for Teaching and the Professions,,
zx434,Belmont Preparatory High School,,
zx435,DOE CAMPUS Theodore Roosevelt Educational Campus ,,
zx437,Fordham High School for the Arts,,
zx438,Fordham Leadership Academy for Business and Technology,,
zx439,Bronx High School for Law and Community Service,,
zx440,DOE DeWitt Clinton High School ,,
zx442,Celia Cruz Bronx High School of Music,,
zx445,DOE Bronx High School of Science ,,
zx447,CRESTON ACADEMY,,
zx450,DOE CAMPUS Adlai E. Stevenson Educational Campus ,,
zx452,Bronx Guild,,
zx455,DOE CAMPUS Harry S. Truman Campus,,
zx459,EAST FORDHAM ACADEMY FOR THE ARTS,,
zx470,DOE CAMPUS South Bronx Educational Campus ,,
zx498,DOE P.S. / M.S. X498 Van Nest Academy,,
zx505,DOE Bronx School for Law,,
zx507,Adlai E. Stevenson H.S.,,
zx508,Bronxdale High School,,
zx509,High School of Language and Innovation,,
zx513,New World High School,,
zx514,The Bronxwood Preparatory Academy,,
zx517,Frederick Douglass Academy III Secondary School,,
zx521,The Metropolitan Soundview High School,,
zx527,Bronx Leadership Academy II High School,,
zx531,Bronx Leadership Academy II High School,,
zx536,PS 536,,
zx540,School for Community Research and Learning,,
zx541,Global Enterprise High School,,
zx542,Pelham Preparatory Academy,,
zx544,High School for Contemporary Arts,,
zx545,Bronx Aerospace High School,,
zx547,New Explorers High School,,
zx548,Urban Assembly School for Careers in Sports,,
zx549,Discovery High School,,
zx550,High School of World Cultures,,
zx551,DOE Bronx Academy of Letters ,,
zx555,Mount Eden Children's Academy,,
zx561,Bronx Compass High School,,
zx564,Claremont International HS,,
zx600,DOE Alfred E. Smith Career and Technical Education High School ,,
zx655,DOE Samuel Gompers Career and Technical Education High School ,,
zx660,DOE Grace Dodge Career and Technical Education High School ,,
zx670,Health Opportunities High School,,
zx684,DOE Wings Academy ,,
zx690,Monroe Academy for Business/Law,,
zx691,Bronx Little School,,
zx692,Monroe Academy for Visual Arts & Design,,
zx695,DOE Passages Academy - Horizon,,
zx721,DOE P.S. X721 - Stephen McSweeney School ,,
zx754,DOE J. M. Rapport School Career Development ,,
zx790,DOE CAMPUS Mott Haven Educational Campus ,,
zx811,DOE P.S. X811 ,,
zx884,DOE CAMPUS Health Opportunities HS / Community School for Social Justice,,
zx970,DOE CAMPUS Bathgate Educational Campus X ,,
zx999,DOE Passages Academy - Bronx Hope,,
zzzzz,Millennium Default Location,,
